Subject_Name,Criteria_Type,Criteria_Value,Evaluation_Name
Art,TP Final,Frank Davis,9.0
Art,TP1,Hank Teal,8.0
Art,TP10,Ivy Brown,1.0
Art,TP2,Sam Brown,7.0
Art,TP3,Rita White,5.0
Art,TP4,Ivy Cyan,7.0
Art,TP5,Bob Blue,8.0
Art,TP6,Dana Brown,4.0
Art,TP7,Olivia Green,0.0
Art,TP8,Frank White,1.0
Art,TP9,Sam Azure,2.0
Biology,Examen Final,Paul Beige,9.0
Biology,Primer Parcial,Alice Brown,5.0
Biology,Segundo Parcial,Rita Cyan,4.0
Chemistry,Examen Final,Quincy Beige,3.0
Chemistry,Primer Parcial,Ivy White,2.0
Chemistry,Segundo Parcial,Alice Purple,9.0
Chemistry,TP1,Rita Azure,9.0
Chemistry,TP2,Alice Azure,7.0
Computer Science,TP Final,Hank Green,5.0
Computer Science,TP1,Nick Azure,7.0
Computer Science,TP10,Olivia Gray,6.0
Computer Science,TP2,Jack Black,1.0
Computer Science,TP3,Charlie Beige,5.0
Computer Science,TP4,Rita Purple,8.0
Computer Science,TP5,Ivy Teal,5.0
Computer Science,TP6,Charlie Azure,5.0
Computer Science,TP7,Sam Cyan,1.0
Computer Science,TP8,Rita Azure,8.0
Computer Science,TP9,Eve Black,5.0
Economics,Examen Final,Kelly Beige,9.0
Economics,Primer Parcial,Liam Red,8.0
Economics,Segundo Parcial,Jack Pink,3.0
English,Examen Final,Quincy Red,6.0
English,Primer Parcial,Rita Teal,0.0
English,Segundo Parcial,Paul Beige,7.0
Geography,Examen Final,Ivy Yellow,2.0
Geography,TP1,Olivia Green,5.0
Geography,TP2,Olivia Teal,5.0
Geography,TP3,Frank Pink,3.0
Geography,TP4,Hank Beige,1.0
History,Examen Final,Nick Pink,6.0
History,Primer Parcial,Jack Orange,9.0
History,Segundo Parcial,Alice Cyan,8.0
Mathematics,Examen Final,Rita Magenta,7.0
Mathematics,Primer Parcial,Eve Pink,2.0
Mathematics,Segundo Parcial,Quincy Yellow,6.0
Mathematics,TP1,Ivy Black,4.0
Mathematics,TP2,Frank Davis,9.0
Mathematics,TP3,Dana Red,7.0
Music,Examen Final,Eve Magenta,9.0
Music,TP Final,Liam Gray,4.0
Music,TP1,Paul Black,3.0
Music,TP10,Paul Gray,4.0
Music,TP2,Eve Orange,9.0
Music,TP3,Alice Red,5.0
Music,TP4,Jack Teal,6.0
Music,TP5,Nick Pink,4.0
Music,TP6,Eve Magenta,2.0
Music,TP7,Dana Green,3.0
Music,TP8,Grace Purple,5.0
Music,TP9,Mona Beige,4.0
Philosophy,Examen Final,Olivia Cyan,3.0
Philosophy,Primer Parcial,Ivy Beige,5.0
Philosophy,Segundo Parcial,Sam Davis,8.0
Physics,Examen Final,Mona Azure,1.0
Physics,Primer Parcial,Olivia Gray,6.0
Physics,Segundo Parcial,Paul Red,4.0
Physics,TP1,Frank Indigo,4.0
Physics,TP2,Kelly Green,1.0
Physics,TP3,Mona Yellow,6.0
Psychology,Examen Final,Grace Gray,7.0
Psychology,Primer Parcial,Mona Brown,3.0
Psychology,Segundo Parcial,Paul Indigo,4.0
Sociology,Examen Final,Sam Teal,6.0
Sociology,Primer Parcial,Paul Pink,3.0
Sociology,Segundo Parcial,Nick White,2.0
Statistics,Examen Final,Alice Cyan,8.0
Statistics,Primer Parcial,Jack Blue,4.0
Statistics,Segundo Parcial,Rita Red,7.0
